,id_user,date,action,table_insert,id_ligne,champs,detail
20,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8855635668141,prix,2.54
21,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,2417137162257,prix,2.08
22,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,3190630177348,prix,1.89
23,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,526744548452,prix,2.49
24,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,7411694986259,prix,3.95
25,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,4229189386176,prix,2.72
26,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,4992934879906,prix,3.83
27,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,5703530830641,prix,3.02
28,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,2135686767630,prix,3.52
29,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,7030397691971,prix,2.87
30,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8746874669490,prix,2.45
31,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8866891905673,prix,1.47
32,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,9326425019666,prix,1.95
33,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8822998030978,prix,9.39
34,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,2038477850150,prix,4.07
35,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8934396548263,prix,3.11
36,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,9387784092713,prix,1.08
37,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,3476864826086,prix,2.63
38,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8572516724558,prix,7.41
39,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8355410454356,prix,8.55
40,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,2999630314057,prix,6.09
41,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,4944138464943,prix,2.85
42,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,943801598639,prix,1.97
43,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,3462409569968,prix,2.08
44,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,2726101129498,prix,2.82
45,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,7019262234505,prix,2.17
46,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,4608556074706,prix,1.49
47,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8670734942001,prix,1.39
48,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,196315457476,prix,2.18
49,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8151080581314,prix,0.78
50,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,3843983239647,prix,3.74
51,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8614282943122,prix,1.75
52,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,3965113245924,prix,1.26
53,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,4753474280927,prix,1.66
54,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,2112076487303,prix,4.03
55,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,1702217830446,prix,1.38
56,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,6114620815912,prix,0.91
57,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,3583727247175,prix,3.08
58,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,2172565336157,prix,1.91
59,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8031862005282,prix,2.73
60,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,9835037010746,prix,4.07
61,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,5037010640126,prix,3.01
62,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,4710095286075,prix,3.49
63,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,5873267188370,prix,5.83
64,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8938497572541,prix,10.08
65,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,928887125863,prix,2.92
66,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,163779171545,prix,3.67
67,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,9030797851548,prix,2.33
68,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8622081780103,prix,3.64
69,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,8727240214001,prix,1.87
70,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,9647414712830,prix,2.99
71,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,5766286026749,prix,2.38
72,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,6456231658004,prix,2.27
73,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,2470580398620,prix,5.32
74,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,6639390318185,prix,3.37
75,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,2222840925103,prix,5.22
76,08c8b678f8e6f0caz05880ef4ebba10az,2024-08-14,UPDATE,Produits,7201698958250,prix,3.56
