id_bdd;customer_id;id_employe;ean;date_achat;id_ticket
HZDG8U15NNY7SI6HDK8NMFDEK7MOVUX31VY;CUST-G42Z6WE8QLWJ;b413ca065a762e8cf2e86cfea8b9c174;6473630445822;45518;t_2693
1H51BRR800TK9DCIH8M9QCRH3LEAR0JWALJ;CUST-CUA37GP8GABQ;a7ada0770091e838e3dcd45265282820;1857802002765;45518;t_4408
W6VNWK6ZX0D4QZ545ZD5Y0THWQQDBTXABXO;CUST-NHWI0DGNESYI;fa836e3f5faf72d24e079235332169ce;6831886714876;45518;t_3258
58EC3JD1TDZZAVQZAW4AHFOUEKTR61ZLB70;CUST-IYXDMN7Q11O4;6c1c3292c852c6c593b95cc146b00c0e;6916826750723;45518;t_1080
96FE6HA91BRDDF6XRI3O9B83M5PKIXCIXZV;CUST-VR9O54A46EVF;38680e129f45c49322cb12303b7fb655;7930902861368;45518;t_979
SFJTXQMU24K7K8LFB3VKOK6A3GQYDC6JKDR;CUST-VR9O54A46EVF;38680e129f45c49322cb12303b7fb655;1107570796338;45518;t_979
OYCXHDF93O0C6IT7A3ZC842J7C50ZNNS8KI;CUST-VR9O54A46EVF;38680e129f45c49322cb12303b7fb655;3300979065063;45518;t_979
GU0P1HRGOYWH6CZ3JOMMLTOE7DCV8DP2AHZ;CUST-0Q6DPH2HT4D4;b5a8777821fdab1a20a4bc0e5f98dfa0;7189964709179;45518;t_4245
XOVNXYKA0VY2FT9NLCT05EOV8QM6OWIMN7A;CUST-Y5PASK3M43ER;578b43483938010803dcdf457753d923;8611110524962;45518;t_3929
1S4I6VS4WJ15RHCP51CGTFMAE120ZQP8IVW;CUST-I3MHPVC48DMB;6fa61d0ecae0b563fef18d36b2039c8e;8589480061513;45518;t_4180
7YA8E6QYDEEF97SETMFL6N3SRP1EK93UXXB;CUST-YFHO3R4XPYQR;658e6925c1774feb2781a2888c9d4202;9491721740592;45518;t_817
4UY036RR8OQFSQASOZV5IFL9NQYPC92TKK8;CUST-FB406EI9DXG1;c36c4a024dd3bbe72042482e25923378;9054957126839;45518;t_4289
2TD63Z8OQYXRZ5FRRGU80596WHWVZ6YWCQG;CUST-W8TFOJ5PO48E;4efc10ff0f86c772d9949b490eb99ad3;482378487314;45518;t_59
QGMWXZRKW2M4X5O982DAK8HWLJDSARPG3WP;CUST-W8TFOJ5PO48E;4efc10ff0f86c772d9949b490eb99ad3;65057604442;45518;t_59
